170114;The Phantom Launch;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701141h.html
170113;Dr. Night;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701131h.html
170112;The Sacred Herb;Fergus Hume;Oct;2017;http://gutenberg.net.au/ebooks17/1701121h.html
170111;Whom God Hath Joined;Fergus Hume;Oct;2017;http://gutenberg.net.au/ebooks17/1701111h.html
170110;The Story of a Troll-Hunt;James McBryde;Oct;2017;http://gutenberg.net.au/ebooks17/1701101p.pdf
170109;To the Minute;Anna Katharine Green;Oct;2017;http://gutenberg.net.au/ebooks17/1701091h.html
170108;Find This Man;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701081h.html
170107;Just a Woolly;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701071h.html
170106;Whispering Death;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701061h.html
170105;The Little Grey Woman;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701051h.html
170104;The Five-Minute Murder;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701041h.html
170100;The Carson Loan Mystery;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701001h.html
170099;The Green Pearl;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1700991h.html
170098;Who Killed David Condon;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1700981h.html
170097;Saul and the Spinster;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1700971h.html
170096;The Fortune Telling House;Aidan de Brune;Sep;2017;http://gutenberg.net.au/ebooks17/1700961h.html
170095;The League of Five;Aidan de Brune;Sep;2017;http://gutenberg.net.au/ebooks17/1700951h.html
170094;The Grays Manor Mystery;Aidan de Brune;Sep;2017;http://gutenberg.net.au/ebooks17/1700941h.html
170093;The Kahm Syndicate;Aidan de Brune;Sep;2017;http://gutenberg.net.au/ebooks17/1700931h.html
170092;The Vanishing Of Tera;Fergus Hume;Sep;2017;http://gutenberg.net.au/ebooks17/1700921
170091;The Silver Bullet;Fergus Hume;Sep;2017;http://gutenberg.net.au/ebooks17/1700911
170090;Douchard's Island;Aidan de Brune;Sep;2017;http://gutenberg.net.au/ebooks17/1700901h.html
170089;A Difficult Problem;Anna Katharine Green;Sep;2017;http://gutenberg.net.au/ebooks17/1700891h.html
170088;Room Number 3;Anna Katharine Green;Sep;2017;http://gutenberg.net.au/ebooks17/1700881h.html
170087;Masterpieces of Mystery;Anna Katharine Green;Sep;2017;http://gutenberg.net.au/ebooks17/1700871h.html
170086;The Shadow Crook;Aidan de Brune;Sep;2017;http://gutenberg.net.au/ebooks17/1700861h.html
170085;For the Defence;Fergus Hume;Sep;2017;http://gutenberg.net.au/ebooks17/1700851h.html
170084;Dark Hollow;Anna Katharine Green;Aug;2017;http://gutenberg.net.au/ebooks17/1700841h.html
170083;Ten Australian Authors;Aidan de Brune;Aug;2017;http://gutenberg.net.au/ebooks17/1700831h.html
170082;The Murders at Madlands;Aidan de Brune;Aug;2017;http://gutenberg.net.au/ebooks17/1700821h.html
170081;The Red-Headed Man;Fergus Hume;Aug;2017;http://gutenberg.net.au/ebooks17/1700811h.html
170080;A Stroll Around Australia;Aidan de Brune;Aug;2017;http://gutenberg.net.au/ebooks17/1700801h.html
170079;The Mayor's Wife;Anna Katharine Green;Aug;2017;http://gutenberg.net.au/ebooks17/1700791h.html
170078;The Crimson Cryptogram;Fergus Hume;Aug;2017;http://gutenberg.net.au/ebooks17/1700781h.html
170077;The Black Patch;Fergus Hume;Aug;2017;http://gutenberg.net.au/ebooks17/1700771h.html
